pma_number,supplement_number,applicant,street_1,street_2,city,state,zip,zip_ext,generic_name,trade_name,product_code,advisory_committee,advisory_committee_description,supplement_type,supplement_reason,expedited_review_flag,date_received,decision_date,docket_number,fed_reg_notice_date,decision_code,ao_statement,device_name,medical_specialty_description,regulation_number,device_class
P990027,S015,TECHNOLAS PERFECT VISION GMBH,MESSERSCHMITTSTR 1 + 3,,MUNCHEN,,80992,,Excimer laser system,TECHNOLAS PERFECT VISION 217Z ZYOPTIX SYSTEM FOR PERSONALIZED VISION CORRECTION,LZS,OP,Ophthalmic,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2010-06-29,2010-11-30,,,APPR,"APPROVAL FOR THE ADVANCED NOMOGRAM SOFTWARE MODULE AS AN UPGRADE TO THE EXISTING SOFTWARE OF THE TECHNOLAS PERFECT VISION® 217Z ZYOPTIX SYSTEM FOR PERSONALIZED VISION CORRECTION. THE ADVANCED NOMOGRAM RESIDES ON A SEPARATE COMPUTER WITH THE ZYLINK TREATMENTCALCULATION SOFTWARE, AND IT LEAVES ALL HARDWARE COMPONENTS AND THE LASER BEAM CONTROL SOFTWARE MODULE UNCHANGED. THE TECHNOLAS PERFECT VISION 217Z ZYOPTIX SYSTEM FOR PERSONALIZEDVISION CORRECTION WITH ADVANCED NOMOGRAM SOFTWARE MODULE IS INDICATED FOR WAVEFRONT-GUIDEDLASER ASSISTED IN-SITU KERATOMILEUSIS (LASIK):1) FOR THE REDUCTION OR ELIMINATION OF MYOPIA WITH SPHERE UP TO -7.00 D AND CYLINDER UP TO-3.00 D AND MRSE <=7.50 D AT THE SPECTACLE PLANE;2) IN PATIENTS WITH DOCUMENTED EVIDENCE OF A CHANGE IN MANIFEST REFRACTION OF LESS THAN OREQUAL TO +-0.50 DIOPTERS (IN BOTH CYLINDER AND SPHERE COMPONENTS) FOR AT LEAST ONE YEARPRIOR TO THE DATE OF THE PRE-OPERATIVE EXAMINATION; AND3) IN PATIENTS 21 YEARS OF AGE OR OLDER.",Excimer Laser System,Unknown,,3
P170039,,HumanOptics AG,Spardorfer Strasse 150,,Erlangen,,91054,,Artificial iris,CustomFlex Artificial Iris,QBT,OP,Ophthalmic,,,N,2017-11-29,2018-05-30,,,APPR,"Approval for the  CustomFlex Artificial Iris.  The CustomFlex Artificial Iris is indicated for use in children and adults for the treatment of full or partial aniridia resulting from congenital aniridia, acquired defects, or other conditions associated with full or partial aniridia.",Artificial Iris,Unknown,,3
P170024,,Stryker Neurovascular,47900 Bayside Parkway,,Fremont,CA,94538,,Intracranial aneurysm flow diverter,Surpass Streamline Flow Diverter,OUT,NE,Neurology,,,N,2017-07-31,2018-07-13,18M-2884,2018-07-26,APPR,Approval for The Surpass Streamline Flow Diverter.  The Surpass Streamline Flow Diverter is indicated for use in the endovascular treatment of patients (18 years of age and older) with unruptured large or giant saccular wide-neck (neck width >= 4 mm or dome-to-neck ratio < 2) or fusiform intracranial aneurysms in the internal carotid artery from the petrous segment to the terminus arising from a parent vessel with a diameter >= 2.5 mm and <= 5.3 mm.,Intracranial Aneurysm Flow Diverter,Unknown,,3
P950005,S018,"Biosense Webster, Inc",31 Technology Drive,Suite 200,Irvine,CA,92618,,"CATHETER, ELECTRODE RECORDING, OR PROBE, ELECTRODE RECORDING","CELSIUS RMT DIAGNOSTIC/ABLATION DEFLECTABLE TIP CATHETERS, MODEL D-1249-02-S",DRF,CV,Cardiovascular,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2004-09-28,2005-12-16,,,APPR,"APPROVAL FOR ADDING REMOTE MAGNETIC NAVIGATION TECHNOLOGY TO THE PREVIOUSLY APPROVED CATHETER.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME CELSIUS RMT DIAGNOSTIC/ABLATION DEFLECTABLE TIP CATHETERS AND IS INDICATED FOR CATHETER-BASED ATRIAL AND VENTRICULAR ELECTROPHYSIOLOGIC MAPPING AND FOR USE WITH THE STEREOTAXIS MAGNETIC NAVIGATION SYSTEM (MNS) AND COMPATIBLE RADIOFREQUENCY GENERATORS IN ADULTS AND CHILDREN FOUR (4) YEARS OF AGE OR OLDER IN CREATING ENDOCARDIAL LESIONS DURING CARDIAC ABLATION PROCEDURES TO TREAT ARRHYTHMIAS.","Catheter, Electrode Recording, Or Probe, Electrode Recording",Cardiovascular,870.1220,2
P960058,S043,ADVANCED BIONICS,28515 WESTINGHOUSE PLACE,,VALENCIA,CA,91355,,"Implant, cochlear",HIRESOLUTION BIONIC EAR SYSTEM,MCM,EN,"Ear, Nose, Throat",Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2005-07-05,2005-12-23,,,APPR,"APPROVAL FOR PROCESS CONTROL IMPROVEMENTS TO THE HIRES90K COIL-CASE/ELECTRODE SUBASSEMBLY FINAL MOLDING PROCESS.  THE PROPOSED CHANGES INCLUDE AN EXTERNAL THERMOCOUPLE TO PROVIDE CLOSED-LOOP CONTROL OF THE MOLD TEMPERATURE, THEREBY PROVIDING BETTER CONTROL OF THE CURING TEMPERATURE OF THE SILICONE, AND BY CONFIGURING THE MOLD TOOL WITH SPRING WASHER (BELLEVILLE WASHERS) TO ALLOW FOR SMOOTHER MOVEMENT.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME HIRESOLUTION BIONIC EAR SYSTEM AND IS INDICATED FOR INDIVIDUALS AGED 12 MONTHS AND OLDER WITH SEVERE-TO-PROFOUND SENSORINEURAL HEARING LOSS TO RESTORE A LEVEL OF AUDITORY SENSATION VIA ELECTRICAL STIMULATION OF THE AUDITORY NERVE.","Implant, Cochlear",Unknown,,3
P130007,S004,ANIMAS CORP.,965 CHESTERBROOK BLVD.,,WAYNE,PA,19087,,"Sensor, glucose, invasive",ANIMAS VIBE SYSTEM,MDS,CH,Clinical Chemistry,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2015-04-30,2015-12-24,16M-0120,2016-02-12,APPR,"APPROVAL FOR THE ANIMAS VIBE SYSTEM. THE ANIMAS® VIBE SYSTEM CONSISTS OF THE ANIMAS VIBE INSULIN PUMP PAIRED WITH THE DEXCOM G4 PLATINUM CGM SENSOR AND TRANSMITTER.THE ANIMAS VIBE INSULIN PUMP IS INTENDED FOR THE CONTINUOUS SUBCUTANEOUS INFUSION OF INSULIN FOR THE MANAGEMENT OF INSULIN-REQUIRING DIABETES. IT CAN BE USED SOLELY FOR CONTINUOUS INSULIN DELIVERY OR AS PART OF THE ANIMAS VIBE SYSTEM TO RECEIVE AND DISPLAY CONTINUOUS GLUCOSE MEASUREMENTS FROM THE DEXCOM G4 PLATINUM SENSOR AND TRANSMITTER.  THE ANIMAS VIBE SYSTEMS CONTINUOUS GLUCOSE MONITORING (CGM) IS INDICATED FOR DETECTING TRENDS AND TRACKING PATTERNS IN PERSONS (AGE 2 AND OLDER) WITH DIABETES, AND IS INTENDED TO COMPLEMENT, NOT REPLACE, INFORMATION OBTAINED FROM STANDARD HOME GLUCOSE MONITORING DEVICES. CGM AIDS IN THE DETECTION OF EPISODES OF HYPERGLYCEMIA AND HYPOGLYCEMIA, FACILITATING BOTH ACUTE AND LONG TERM THERAPY ADJUSTMENTS, WHICH MAY MINIMIZE THESE EXCURSIONS. INTERPRETATION OF RESULTS FROM THE DEXCOM G4 PLATINUM SENSOR AND TRANSMITTER SHOULD BE BASED ON THE TRENDS AND PATTERNS SEEN WITH SEVERAL SEQUENTIAL READINGS OVER TIME.THE ANIMAS VIBE SYSTEM IS INTENDED FOR SINGLE PATIENT USE IN PERSONS AGE 2 AND OLDER AND REQUIRES A PRESCRIPTION.","Sensor, Glucose, Invasive",Unknown,,3
P990052,,Med-el Elektromedizinische Gerate GmbH,FUERSTENWEG 77A,A-6020,"INNSBRUCK, TIROL",,,,"Implant, hearing, active, middle ear, partially implanted",VIBRANT P/ VIBRANT D SOUNDBRIDGE SYSTEM,MPV,EN,"Ear, Nose, Throat",,,N,1999-09-07,2000-08-31,00M-1583,2000-10-27,APPR,"APPROVAL FOR THE VIBRANT SOUNDBRIDGE SYSTEM.  THIS DEVICE IS INDICATED FOR PROVIDING A USEFUL LEVEL OF SOUND PERCEPTION TO INDIVIDUALS VIA MECHANICAL STIMULATINO OF THE OSSICLES.  THE VIBRANT SOUNDBRIDGE IS INTENDED FOR USE IN ADULTS, 18 YEARS OF AGE OR OLDER, WHO HAVE A MODERATE TO SEVERE SENSORINEURAL HEARING LOSS AND DESIRE AN ALTERNATIVE TO AN ACOUSTIC HEARING AID.  PRIOR TO RECEIVING THE DEVICE, IT IS RECOMMENDED THAT AN INDIVIDUAL HAVE EXPERIENCE WITH APPROPRIATELY FIT HEARING AIDS.","Implant, Hearing, Active, Middle Ear, Partially Implanted",Unknown,,3
P020050,S023,"Alcon Laboratories, Inc.",6201 South Freeway,,Fort Worth,TX,76134,2099,Excimer laser system,"WAVELIGHT EX500 EXCIMER LASER SYSTEM, ALLEGRETTO WAVE EYE-Q EXCIMER LASER SYSTEM",LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2015-07-20,2016-11-21,16M-4046,2016-11-30,APPR,"Approval for the WaveLight EX500 Excimer Laser System and Allegretto Wave Eye-Q Excimer Laser System. These devices are indicated for use in Photorefractive Keratectomy (PRK) treatments for:  1) the reduction or elimination of up to -6.0 diopters (D) of spherical equivalent myopia or myopia with astigmatism, with up to -6.0 D of spherical component and up to -3.0 D of astigmatic component at the spectacle plane;2)  patients who are 18 years of age or older; and  3) patients with documentation of a stable manifest refraction defined as <=0.5 D preoperative spherical equivalent shift over one year prior to surgery.",Excimer Laser System,Unknown,,3
P980022,S021,MEDTRONIC MINIMED,18000 DEVONSHIRE ST,,NORTHRIDGE,CA,91325,,"Sensor, glucose, invasive",PARADIGM REAL-TIME SYSTEM AND GUARDIAN REAL-TIME SYSTEM,MDS,CH,Clinical Chemistry,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2007-10-24,2008-04-18,,,APPR,"APPROVAL FOR AN OPTIONAL CAPABILITY OF AUTOMATICALLY DOWNLOADING GLUCOSE RESULTS FROM THE LIFESCAN ONETOUCH ULTRALINK BLOOD GLUCOSE METER IN ADDITION TO THE CURRENT BD PARADIGM LINK GLUCOSE METER. THIS MODIFICATION INCLUDES AN OPTIONAL CAPABILITY FOR THE MINIMED PARADIGM REAL-TIME INSULIN INFUSION PUMPS OR THE GUARDIAN REAL-TIME GLUCOSE MONITOR TO RECEIVE BLOOD GLUCOSE VALUES AUTOMATICALLY TRANSMITTED BY A LIFESCAN ONETOUCH ULTRALINK BLOOD GLUCOSE METER.  THE GUARDIAN? REAL-TIME SYSTEM IS INDICATED FOR CONTINUOUS OR PERIODIC MONITORING OF GLUCOSE LEVELS IN THE FLUID UNDER THE SKIN, IN CHILDREN AND ADULTS, AGES 7 AND UP, WITH DIABETES MELLITUS, FOR THE PURPOSE OF IMPROVING DIABETES MANAGEMENT. IT ALERTS IF A GLUCOSE LEVEL FALLS BELOW, OR RISES ABOVE, PRESET VALUES. VALUES ARE NOT INTENDED TO BE USED DIRECTLY FOR MAKING THERAPY ADJUSTMENTS, BUT RATHER TO PROVIDE AN INDICATION OF WHEN A FINGERSTICK MAY BE REQUIRED. ALL THERAPY ADJUSTMENTS SHOULD BE BASED ON MEASUREMENTS OBTAINED USING A HOME GLUCOSE MONITOR. THE SYSTEM PROVIDES REAL-TIME GLUCOSE VALUES THAT ALLOW USERS TO TRACK PATTERNS IN GLUCOSE CONCENTRATIONS AND TO POSSIBLY IDENTIFY EPISODES OF LOW AND HIGH BLOOD GLUCOSE. IT ALSO STORES THE DATA SO THAT IT CAN BE ANALYZED TO TRACK PATTERNS.  GLUCOSE DATA CAN BE FURTHER DOWNLOADED TO PC SOFTWARE FOR ANALYSIS OF HISTORICAL GLUCOSE VALUES.  THE GUARDIAN REAL-TIME MONITOR CAN BE PROGRAMMED TO RECEIVE FINGERSTICK BLOOD GLUCOSE CALIBRATION VALUES TRANSMITTED FROM THE BD PARADIGM LINK OR LIFESCAN ONETOUCH ULTRALINK GLUCOSE METERS.  CALIBRATION VALUES FROM OTHER GLUCOSE METERS MUST BE MANUALLY ENTERED INTO THE MONITOR.  THE PARADIGM? REAL-TIME SYSTEM IS INDICATED FOR CONTINUOUS OR PERIODIC MONITORING OF GLUCOSE LEVELS IN THE FLUID UNDER THE SKIN, AND POSSIBLE LOW AND HIGH BLOOD GLUCOSE EPISODES IN CHILDREN AND ADULTS, AGES 7 AND UP....(SEE APPROVAL ORDER FOR ADDITIONAL INFO)","Sensor, Glucose, Invasive",Unknown,,3
P000027,S001,ROCHE DIAGNOSTICS CORP.,9115 HAGUE RD.,,INDIANAPOLIS,IN,46250,,PROSTATE-SPECIFIC ANTIGEN (PSA) FOR MANAGEMENT OF PROSTATE CANCERS,"ELSECSYS FREE PSA IMMUNOASSAY,FREE PSA CALSET,FREE PSA CALCHECK",LTJ,IM,Immunology,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2001-11-07,2002-04-29,,,APPR,"APPROVAL FOR THE ADDITION OF THE ELECSYS FREE PSA ASSAY TO THE MODULAR ANALYTICS E170 IMMUNOASSAY ANALYZER.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME ELECSYS FREE PSA IMMUNOASSAY, ELECSYS FREE PSA CALSET AND ELECSYS FREE PSA CALCHECK AND ARE INDICATED AS FOLLOWS:  IMMUNOASSAY FOR THE IN VITRO QUANTITATIVE DETERMINATION OF FREE PROSTATE-SPECIFIC ANTIGEN IN HUMAN SERUM AND PLASMA.  THE ELECSYS FREE PSA IMMUNOASSAY IS INDICATED FOR MEASUREMENT OF FPSA IN CONJUNCTION WITH THE ELECSYS TOTAL PSA TO DEVELOP A RATIO (% FPSA) OF FPSA TO TPSA.  THIS RATIO IS USEFUL WHEN USED IN CONJUNCTION WITH THE ELECSYS TOTAL PSA TEST AS AN AID IN DISTINGUISHING PROSTATE CANCER FROM BENIGN  PROSTATE CONDITIONS IN MEN AGE 50 YEARS OR OLDER WHO HAVE A DIGITAL RECTAL EXAMINATION (DRE) THAT IS NOT SUSPICIOUS FOR PROSTATE CANCER AND AN ELECSYS TOTAL PSA VALUE IN THE RANGE 4-10NG/ML.  PROSTATE BIOPSY IS REQUIRED FOR THE DIAGNOSIS OF PROSTATE CANCER.  THE ELECTROCHEMILUMI-NESCENCE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE ROCHE ELECSYS 1010/2010 AND MODULAR ANALYTICS E170 (ELECSYS MODULE) IMMUNOASSAY ANALYZERS.  ELECSYS FREE PSA CALSET IS USED FOR CALIBRATING THE QUANTITATIVE ELECSYS FREE PSA ASSAY ON THE ELECSYS 1010/2010 AND MODULAR ANALYTICS E170 IMMUNOASSAY SYSTEMS.  FREE PSA CALCHECK IS FOR USE IN THE VERIFICATION OF THE CALIBRATION ESTABLISHED BY THE ELECSYS FREE PSA REAGENT ON ELECSYS 1010/2010 AND MODULAR ANALYTICS E170 IMMUNOASSAY ANALYZERS.",Prostate-Specific Antigen (Psa) For Management Of Prostate Cancers,Immunology,866.6010,2
P150034,,"RVO 2.0, Inc. (d.b.a. Optics Medical)",65 Enterprise  Suite 455,,Aliso Viejo,CA,92656,,"Implant, corneal, refractive",Raindrop Near Vision Inlay,LQE,OP,Ophthalmic,,,N,2015-09-24,2016-06-29,16M-1837,2016-07-08,APPR,"Approval for the Raindrop® Near Vision Inlay. This device is indicated for intrastromal implantation to improve near vision in the non-dominant eye of phakic, presbyopic patients, 41 to 65 years of age, who have manifest refractive spherical equivalent of (MRSE) +1.00 diopters (D) to -0.50 D with less than or equal to 0.75 D of refractive cylinder, who do not require correction for clear distance vision, but who do require near correction of +1.50 D to +2.50 D of reading add.","Implant, Corneal, Refractive",Unknown,,3
P030031,,"BIOSENSE WEBSTER, INC.",31 Technology Drive,Suite 200,Irvine,CA,92618,,"catheter, percutaneous, cardiac ablation, for treatment of atrial flutter",BIOSENSE WEBSTER NAVISTAR/CELSIUS THERMO COOL DIAGNOSTIC/ABLATION DEFLECTABLE TIP CATHETERS,OAD,CV,Cardiovascular,,,N,2003-07-28,2004-11-05,04M-0497,2004-11-12,APPR,"APPROVAL FOR FOR THE NAVISTAR/CELSIUS THERMOCOOL DEFLECTABLE DIAGNOSTIC/ABLATION CATHETERS, WHICH INCLUDE THESE MODELS: NAVISTAR THERMOCOOL (MODELS NS75T-BCT-252-HS, NS75T-CCT-252-HS, NS75T-DCT-252-HS, NS75T-FCT-252-HS, NS75TC-BCT-252-HS, NS75TC-CCT-252-HS, NS75TC-DCT-252-HS, AND NS75TC-FCT-252-HS); AND CELSIUS THERMOCOOL (MODELS D7IT-BL-252-RT, D7IT-DL-252-RT, D7IT-FL-252-RT, D7ITC-BL-252-RT, D7ITC-DL-252-RT, AND D7ITC-FL-252-RT).  THE BIOSENSE WEBSTER NAVISTAR/CELSIUS THERMOCOOL DIAGNOSTIC/ABLATION DEFLECTABLE TIP CATHETERS AND RELATED ACCESSORY DEVICES ARE INDICATED FOR CATHETER-BASED CARDIAC ELECTROPHYSIOLOGICAL MAPPING (STIMULATING AND RECORDING), AND WHEN USED WITH THE STOCKERT 70 GENERATOR, FOR THE TREATMENT OF TYPE I ATRIAL FLUTTER IN PATIENTS AGE 18 OR OLDER.  THE NAVISTAR THERMOCOOL CATHETER PROVIDES LOCATION INFORMATION WHEN USED WITH THE CARTO EP/XP NAVIGATION SYSTEM.","Catheter, Percutaneous, Cardiac Ablation, For Treatment Of Atrial Flutter",Unknown,,3
P120005,S033,"DEXCOM, INC.",6340 SEQUENCE DR,,SAN DIEGO,CA,92121,,"Sensor, glucose, invasive",DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,MDS,CH,Clinical Chemistry,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2015-02-25,2015-08-19,,,APPR,"APPROVAL FOR CHANGES TO THE DEXCOM TRANSMITTER AND RECEIVER AND THE ADDITION OF THE DEXCOM G5 MOBILE APP, TO ENABLE THE TRANSMISSION OF CGM DATA TO THE RECEIVER AND/OR COMPATIBLE APPLE MOBILE DEVICES, AND TO ALLOW ENTRY OF SYSTEM CALIBRATION INFORMATION DIRECTLY FROM COMPATIBLE APPLE MOBILE DEVICES. THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM AND IS INDICATED AS FOLLOWS:THE DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM IS A GLUCOSE MONITORING SYSTEM INDICATED FOR DETECTING TRENDS AND TRACKING PATTERNS IN PERSONS (AGE 2 AND OLDER) WITH DIABETES. THE SYSTEM IS INTENDED FOR SINGLE PATIENT USE AND REQUIRES A PRESCRIPTION. THE DEXCOM G5 MOBILE SYSTEM IS INDICATED FOR USE AS AN ADJUNCTIVE DEVICE TO COMPLEMENT, NOT REPLACE, INFORMATION OBTAINED FROM STANDARD HOME GLUCOSE MONITORING DEVICES. THE DEXCOM G5 MOBILE SYSTEM AIDS IN THE DETECTION OF EPISODES OF HYPERGLYCEMIA AND HYPOGLYCEMIA, FACILITATING BOTH ACUTE AND LONG-TERM THERAPY ADJUSTMENTS, WHICH MAY MINIMIZE THESE EXCURSIONS. INTERPRETATION OF THE DEXCOM G5 MOBILE SYSTEM RESULTS SHOULD BE BASED ON THE TRENDS AND PATTERNS SEEN WITH SEVERAL SEQUENTIAL READINGS OVER TIME.","Sensor, Glucose, Invasive",Unknown,,3
P930016,S045,"AMO Manufacturing USA, LLC",510 Cottonwood Drive,,Milpitas,CA,95035,,Excimer laser system,"IDESIGN ADVANCED WAVESCAN STUDIO, STAR EXCIMER LASER SYSTEM",LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2015-06-01,2016-11-14,16M-3915,2016-12-14,APPR,"Approval for the STAR S4 IR Excimer Laser System and iDesign Advanced WaveScan Studio Indication System is indicated for wavefront-guided laser assisted in situ keratomileusis (LASIK) for Use: in patients:1) with mixed astigmatism as measured by iDesign Advanced WaveScan Studio System where the magnitude of cylinder (1.0 to 5.0 D) is greater than the magnitude of sphere, and the cylinder and sphere have opposite signs; 2) with agreement between manifest refraction (adjusted for optical infinity) and iDesign Advanced WaveScan Studio System refraction as follows:a) Spherical Equivalent: Magnitude of the difference is less than 0.625 D; b)Cylinder: Magnitude of the difference is less than or equal to 0.5 D.; and c) 18 years of age or older, and with refractive stability (a change of <=1.0 D in sphere or cylinder for a minimum of 12 months prior to surgery).",Excimer Laser System,Unknown,,3
P100039,S002,SIEMENS HEALTHCARE DIAGNOSTICS INC.,511 BENEDICT AVE.,,TARRYTOWN,NY,10591,,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",ADVIA CENTAUR ANTI-HBS2 MASTER CURVE MATERIALS,LOM,MI,Microbiology,Real-Time Process,Change Design/Components/Specifications/Material,N,2012-09-28,2013-09-26,,,APPR,"APPROVAL FOR THE AD VIA CENTAUR ANTI-HBS2 (AHBS2) MASTER CURVEMATERIAL. THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME AD VIA CENTAUR ANTIHBS2(AHBS2) ASSAY, ADVIA CENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIAL, ANDADVIA CENTAUR ANTI-HBS2 (AHBS2) MASTER CURVE MATERIAL AND IS INDICATED FOR:ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY:  THE ADVIA CENTAUR ANTI-HBS2 ASSAY IS AN IN VITRO DIAGNOSTIC IMMUNOASSAY FOR THE QUALITATIVEAND QUANTITATIVE DETENNINATION OF TOTAL ANTIBODIES TO HEPATITIS B SURFACE ANTIGEN IN HUMAN ADULT, ADOLESCENT, AND PEDIATRIC SERUM OR PLASMA (EDTA, LITHIUM-HEPARINIZED, OR SODIUM-HEPARINIZED)AND NEONATAL SAMPLES USING THE ADVIA CENTAUR AND ADVIA CENTAUR XP SYSTEMS. THE ASSAYRESULTS MAY BE USED AS AN AID IN THE DETENNINATION OF SUSCEPTIBILITY TO HEPATITIS B VIRUS (HBV) INFECTION IN INDIVIDUALS PRIOR TO OR FOLLOWING HBV VACCINATION OR WHERE VACCINATION STATUS IS UNKNOWN. ASSAY RESULTS MAY BE USED WITH OTHER HBV SEROLOGICAL MARKERS FOR THE LABORATORY DIAGNOSIS OF HBV DISEASE ASSOCIATED WITH HBV INFECTION. A REACTIVE ASSAY RESULT WILL ALLOW ADIFFERENTIAL DIAGNOSIS IN INDIVIDUALS DISPLAYING SIGNS AND SYMPTOMS OF HEPATITIS IN WHOM ETIOLOGY IS UNKNOWN.THIS ASSAY HAS NOT BEEN FDA-CLEARED OR APPROVED FOR THE SCREENING OF BLOOD OR PLASMA DONORS. ADVIA CENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIAL:  FOR IN VITRO DIAGNOSTIC USE IN MONITORING THE PERFORMANCE OF THE ANTI-HBS2 ASSAY ON THE ADVIACENTAUR SYSTEMS. THE PERFORMANCE OF THE ANTI-HBS2 QUALITY CONTROL MATERIAL HAS NOT BEEN ESTABLISHED WITH ANY OTHER ANTI-HBS ASSAYS.ADVIA CENTAUR ANTI-HBS2 (AHBS2) MASTER CURVE MATERIAL:  THE ADVIA CENTAUR ANTI-HBS2 (AHBS2) MASTER CURVE MATERIAL (MCM) IS FOR IN VITRO USE IN THE VERIFICATION OF CALIBRATION AND REPORTABLE RANGE OF THE AD VIA CENTAUR AHBS2 ASSAY.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P030031,S053,"BIOSENSE WEBSTER, INC.",31 Technology Drive,Suite 200,Irvine,CA,92618,,Cardiac ablation percutaneous catheter,"THERMOCOOL SMARTTOUCH BI-DIRECTIONAL NAVIGATION CATHETER,THERMOCOOL SMARTTOUCH UNI-DIRECTIONAL NAVIGATION CATHETER,THERM",LPB,CV,Cardiovascular,Normal 180 Day Track,,N,2013-06-17,2014-02-11,,,APPR,"APPROVAL FOR THE ADDITION OF FORCE SENSING TECHNOLOGY TO THE CATHETER TIP.THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME THERMOCOOL SMARTTOUCH CATHETER AND IS INDICATED FOR:THE BIOSENSE WEBSTER THERMOCOOL SMARTTOUCH NAVIGATION CATHETER AND RELATED ACCESSORY DEVICES ARE INDICATED FOR CATHETER-BASED CARDIAC ELECTROPHYSIOLOGICAL MAPPING (STIMULATING AND RECORDING) AND, WHEN USED WITH A COMPATIBLE RF GENERATOR, FOR THE TREATMENT OF:1) TYPE I ATRIAL FLUTTER IN PATIENTS AGE 18 OR OLDER;2) RECURRENT DRUG/DEVICE REFRACTORY SUSTAINED MONOMORPHIC VENTRICULAR TACHYCARDIA(VT) DUE TO PRIOR MYOCARDIAL INFARCTION (MI) IN ADULTS; AND3) DRUG REFRACTORY RECURRENT SYMPTOMATIC PAROXYSMAL ATRIAL FIBRILLATION, WHEN USED WITH COMPATIBLE THREE-DIMENSIONAL ELECTROANATOMIC MAPPING SYSTEMS.THE THERMOCOOL SMARTTOUCH NAVIGATION CATHETER PROVIDES A REAL-TIME MEASUREMENT OF CONTACT FORCE BETWEEN THE CATHETER TIP AND HEART WALL, AS WELL AS LOCATION INFORMATION WHEN USED WITH CARTO 3 NAVIGATION SYSTEM.",Cardiac Ablation Percutaneous Catheter,Unknown,,3
P960036,S006,"IOLTECH, S.A.",64 SCHOOSETT STREET,,PENBROKE,MA,02359,1882,intraocular lens,CV232 SRE PRE-ROLLED ACRYLIC INTRAOCULAR LENS,HQL,OP,Ophthalmic,Real-Time Process,Labeling Change - Indications/instructions/shelf life/tradename,N,2002-06-06,2002-06-20,,,APPR,APPROVAL FOR A TRADE NAME CHANGE OF THE MEMORYLENS IOL.  THE DEVICE WILL BE MARKETED UNDER THE TRADE NAME CV232 SRE PRE-ROLLED ACRYLIC INTRAOCULAR LENS AND IS INDICATED FOR PRIMARY IMPLANTATION FOR THE VISUAL CORRECTION OF APHAKIA IN PATIENTS 60 YEARS OF AGE OF OLDER WHERE A CATARACTOUS LENS HAS BEEN REMOVED BY AN EXTRACAPSULAR CATARACT EXTRACTION METHOD.  THE LENS IS INTENDED FOR PLACEMENT IN THE CAPSULAR BAG.,Intraocular Lens,Ophthalmic,886.3600,3
P980031,,ADDITION TECHNOLOGY,820 OAK CREEK DRIVE,,LOMBARD,IL,60148,,"Implant, corneal, refractive",INTACS PRESCRIPTION INSERTS/INTACS CORNEAL IMPLANTS,LQE,OP,Ophthalmic,,,N,1998-07-14,1999-04-09,99M-1167,,APPR,This device is indicated for the reduction or elimination of mild myopia (-2.00 to -3.00 diopters spherical equivalent at the spectacle plane) in patients: who are 21 yrs of age or older; with documented stability of refraction as demonstrated by a change of less than or equal to 0.50D for at least 12 months prior to the preoperative examination; and where the astigmatic components are +1.00D or less.,"Implant, Corneal, Refractive",Unknown,,3
